matchday_nr,home_team_name,away_team_name,hist_home_team_win,hist_draw,hist_away_team_win,hist_goal_dif,season
24,RB Leipzig,Borussia Mönchengladbach,7.0,3.0,2.0,8.0,2023
24,SC Freiburg,TSG 1899 Hoffenheim,9.0,10.0,7.0,3.0,2023
24,1. FC Köln,VfL Bochum,38.0,16.0,14.0,47.0,2023
24,Eintracht Frankfurt,VfB Stuttgart,34.0,22.0,42.0,-12.0,2023
24,VfL Wolfsburg,1. FC Union Berlin,3.0,2.0,1.0,3.0,2023
24,Hertha BSC,1. FSV Mainz 05,13.0,16.0,11.0,10.0,2023
24,FC Schalke 04,Borussia Dortmund,32.0,30.0,36.0,-21.0,2023
24,Werder Bremen,Bayer Leverkusen,27.0,33.0,22.0,-6.0,2023
25,Borussia Dortmund,1. FC Köln,39.0,25.0,28.0,24.0,2023
25,Bayer Leverkusen,FC Bayern München,18.0,17.0,51.0,-65.0,2023
25,1. FC Union Berlin,Eintracht Frankfurt,2.0,4.0,6.0,-12.0,2023
25,1. FSV Mainz 05,SC Freiburg,16.0,13.0,13.0,15.0,2023
25,TSG 1899 Hoffenheim,Hertha BSC,12.0,5.0,7.0,13.0,2023
25,Borussia Mönchengladbach,Werder Bremen,41.0,25.0,38.0,21.0,2023
25,VfL Bochum,RB Leipzig,0.0,0.0,6.0,-10.0,2023
25,FC Augsburg,FC Schalke 04,2.0,8.0,10.0,-12.0,2023
25,VfB Stuttgart,VfL Wolfsburg,19.0,7.0,20.0,-7.0,2023
26,FC Bayern München,Borussia Dortmund,52.0,29.0,25.0,84.0,2023
26,RB Leipzig,1. FSV Mainz 05,7.0,2.0,3.0,19.0,2023
26,1. FC Union Berlin,VfB Stuttgart,1.0,4.0,1.0,-1.0,2023
26,SC Freiburg,Hertha BSC,14.0,17.0,15.0,-1.0,2023
26,1. FC Köln,Borussia Mönchengladbach,27.0,19.0,52.0,-59.0,2023
26,Eintracht Frankfurt,VfL Bochum,26.0,15.0,25.0,12.0,2023
