season,location,matchday_nr,home_team_id,home_team_name,away_team_id,away_team_name,goals_home,goals_away,draw,win_home,win_away,outcome
2009,Mainz,12,81,1. FSV Mainz 05,79,1. FC Nürnberg,1,0,0.0,1.0,0.0,win_home
2009,Hannover,12,55,Hannover 96,100,Hamburger SV,2,2,1.0,0.0,0.0,draw
2009,Berlin,12,54,Hertha BSC,65,1. FC Köln,0,1,0.0,0.0,1.0,win_away
2009,Bremen,12,134,Werder Bremen,7,Borussia Dortmund,1,1,1.0,0.0,0.0,draw
2009,Wolfsburg,13,131,VfL Wolfsburg,79,1. FC Nürnberg,2,3,0.0,0.0,1.0,win_away
2009,Stuttgart,13,16,VfB Stuttgart,54,Hertha BSC,1,1,1.0,0.0,0.0,draw
2009,Gelsenkirchen,13,9,FC Schalke 04,55,Hannover 96,2,0,0.0,1.0,0.0,win_home
2009,Köln,13,65,1. FC Köln,175,TSG 1899 Hoffenheim,0,4,0.0,0.0,1.0,win_away
2009,Frankfurt,13,91,Eintracht Frankfurt,87,Borussia Mönchengladbach,1,2,0.0,0.0,1.0,win_away
2009,Freiburg,13,112,SC Freiburg,134,Werder Bremen,0,6,0.0,0.0,1.0,win_away
2009,Dortmund,13,7,Borussia Dortmund,81,1. FSV Mainz 05,0,0,1.0,0.0,0.0,draw
2009,München,13,40,FC Bayern München,6,Bayer Leverkusen,1,1,1.0,0.0,0.0,draw
2009,Hamburg,13,100,Hamburger SV,129,VfL Bochum,0,1,0.0,0.0,1.0,win_away
2009,Bochum,14,129,VfL Bochum,65,1. FC Köln,0,0,1.0,0.0,0.0,draw
2009,Berlin,14,54,Hertha BSC,91,Eintracht Frankfurt,1,3,0.0,0.0,1.0,win_away
2009,Sinsheim,14,175,TSG 1899 Hoffenheim,7,Borussia Dortmund,1,2,0.0,0.0,1.0,win_away
2009,Bremen,14,134,Werder Bremen,131,VfL Wolfsburg,2,2,1.0,0.0,0.0,draw
2009,Mainz,14,81,1. FSV Mainz 05,100,Hamburger SV,1,1,1.0,0.0,0.0,draw
2009,Nürnberg,14,79,1. FC Nürnberg,112,SC Freiburg,0,1,0.0,0.0,1.0,win_away
