season_x,location,matchday_nr_x,home_team_id,home_team_name_x,away_team_id,away_team_name_x,goals_home,goals_away,outcome,total_goals,identifier,hist_home_team_win,hist_draw,hist_away_team_win,hist_goal_dif
2008,Berlin,15,54,Hertha BSC,65,1. FC Köln,2,1,win_home,3,2008_Hertha BSC_1. FC Köln,12.0,9.0,21.0,-26.0
2008,Bremen,15,134,Werder Bremen,91,Eintracht Frankfurt,5,0,win_home,5,2008_Werder Bremen_Eintracht Frankfurt,36.0,15.0,27.0,12.0
2008,Leverkusen,15,6,Bayer Leverkusen,40,FC Bayern München,0,2,win_away,2,2008_Bayer Leverkusen_FC Bayern München,13.0,10.0,35.0,-39.0
2008,Hannover,15,55,Hannover 96,105,Karlsruher SC,3,2,win_home,5,2008_Hannover 96_Karlsruher SC,14.0,3.0,9.0,18.0
2008,Hannover,15,55,Hannover 96,105,Karlsruher SC,3,2,win_home,5,2008_Hannover 96_Karlsruher SC,13.0,2.0,9.0,17.0
2008,Gladbach,15,87,Borussia Mönchengladbach,93,FC Energie Cottbus,1,3,win_away,4,2008_Borussia Mönchengladbach_FC Energie Cottbus,2.0,5.0,1.0,3.0
2008,Stuttgart,15,16,VfB Stuttgart,9,FC Schalke 04,2,0,win_home,2,2008_VfB Stuttgart_FC Schalke 04,35.0,13.0,28.0,33.0
2008,Bochum,15,129,VfL Bochum,100,Hamburger SV,1,1,draw,2,2008_VfL Bochum_Hamburger SV,18.0,18.0,28.0,-23.0
2008,Dortmund,15,7,Borussia Dortmund,131,VfL Wolfsburg,0,0,draw,0,2008_Borussia Dortmund_VfL Wolfsburg,12.0,7.0,5.0,12.0
2008,Dortmund,15,7,Borussia Dortmund,131,VfL Wolfsburg,0,0,draw,0,2008_Borussia Dortmund_VfL Wolfsburg,12.0,7.0,3.0,18.0
2008,Gelsenkirchen,16,9,FC Schalke 04,54,Hertha BSC,1,0,win_home,1,2008_FC Schalke 04_Hertha BSC,25.0,10.0,25.0,8.0
2008,Frankfurt,16,91,Eintracht Frankfurt,129,VfL Bochum,4,0,win_home,4,2008_Eintracht Frankfurt_VfL Bochum,20.0,15.0,23.0,4.0
2008,Frankfurt,16,91,Eintracht Frankfurt,129,VfL Bochum,4,0,win_home,4,2008_Eintracht Frankfurt_VfL Bochum,20.0,13.0,23.0,4.0
2008,Karlsruhe,16,105,Karlsruher SC,134,Werder Bremen,1,0,win_home,1,2008_Karlsruher SC_Werder Bremen,13.0,9.0,22.0,-25.0
2008,Karlsruhe,16,105,Karlsruher SC,134,Werder Bremen,1,0,win_home,1,2008_Karlsruher SC_Werder Bremen,13.0,8.0,21.0,-21.0
2008,Cottbus,16,93,FC Energie Cottbus,16,VfB Stuttgart,0,3,win_away,3,2008_FC Energie Cottbus_VfB Stuttgart,1.0,4.0,5.0,-6.0
2008,Cottbus,16,93,FC Energie Cottbus,16,VfB Stuttgart,0,3,win_away,3,2008_FC Energie Cottbus_VfB Stuttgart,1.0,4.0,3.0,-2.0
